قيمة - ريال;الوزن الصافي بالكيلو;رمز التعرفة 4 خانات ;السنة;الربع ;الدولة
39,998,765;11,966,043;1701;2,024;Q1-2024;الإمارات
3,964,665;2,886,879;0706;2,024;Q1-2024;الكويت
3,526,160;709,368;4803;2,024;Q1-2024;الكويت
247,247,758;8,970,615;7404;2,024;Q1-2024;الهند
345,454;33,523;8311;2,024;Q1-2024;البحرين
2,751,448;667,453;3305;2,024;Q1-2024;البحرين
1,140,050;70,700;8704;2,024;Q1-2024;قطر
9,895,012;3,065,844;3404;2,024;Q1-2024;الهند
3,313,187;756,140;3907;2,024;Q1-2024;لبنان
3,091,903;405,565;5603;2,024;Q1-2024;تونس
31,725;3,000;4419;2,024;Q1-2024;الهند
520,232;253,772;4804;2,024;Q1-2024;اليمن
13,965;62;4016;2,024;Q1-2024;مصر
111,645;8,089;8545;2,024;Q1-2024;الإمارات
1,684,564;276,657;0813;2,024;Q1-2024;البحرين
18,506,885;6,927,500;1701;2,024;Q1-2024;جيبوتي
32,951,232;14,428,770;7213;2,024;Q1-2024;البحرين
257,463;11,121;7615;2,024;Q1-2024;عمان
1,202;5;8421;2,024;Q1-2024;إسبانيا
100;30;8418;2,024;Q1-2024;الصين الشعبية
427,385;44,689;5407;2,024;Q1-2024;نيجيريا
243,932;39,639;9605;2,024;Q1-2024;عمان
474,305;26,973;4202;2,024;Q1-2024;قطر
54,293;644;8538;2,024;Q1-2024;رومانيا
291;1;9106;2,024;Q1-2024;الإمارات
1,089,275;29,554;8418;2,024;Q1-2024;البحرين
1,688,663;358,771;0406;2,024;Q1-2024;ليبيا
28,548,999;1,093,584;8415;2,024;Q1-2024;الإمارات
40,658;6,711;3307;2,024;Q1-2024;أستراليا
7,620;896;8205;2,024;Q1-2024;المغرب
461,588;28,440;0104;2,024;Q1-2024;قطر
4,036;80;8711;2,024;Q1-2024;الكاميرون
333,221;0;9101;2,024;Q1-2024;فرنسا
2,085,193;273,879;5702;2,024;Q1-2024;الكويت
3,637,190;876,898;0401;2,024;Q1-2024;موريتانيا
19,111,990;2,044,094;4819;2,024;Q1-2024;العراق
745,414;198,000;3901;2,024;Q1-2024;ماينامار
895,904;1,718,000;6905;2,024;Q1-2024;مصر
220,640;26,370;2001;2,024;Q1-2024;البحرين
3,165,540;302,409;7610;2,024;Q1-2024;عمان
19,852,680;5,163,000;3902;2,024;Q1-2024;ساحل العاج(كوتديفوار
1,114,747;27,559;0902;2,024;Q1-2024;الإمارات
443,585;12,741;8412;2,024;Q1-2024;قطر
1,919,050;275,157;8716;2,024;Q1-2024;الإمارات
157,369;24,628;9404;2,024;Q1-2024;ليبيا
439,804;5,385;8438;2,024;Q1-2024;الإمارات
1,487;37;7318;2,024;Q1-2024;مصر
2,958,884;1,829,940;2907;2,024;Q1-2024;الهند
546,215;105,898;3917;2,024;Q1-2024;الصومال
122,910;2,818;8465;2,024;Q1-2024;الهند
95,906;3,694;4421;2,024;Q1-2024;الكويت
2,280;15;8442;2,024;Q1-2024;الهند
3,523;357;8707;2,024;Q1-2024;الصين الشعبية
13,296;9;4205;2,024;Q1-2024;هولندا
7,916,253;1,693,750;3901;2,024;Q1-2024;اثيوبيا
370;60;6913;2,024;Q1-2024;اليمن
12,504,784;6,539;9030;2,024;Q1-2024;أستراليا
739,848;173,250;3902;2,024;Q1-2024;هنجاريا
56,470;38,974;6811;2,024;Q1-2024;اليمن
60,600;32,000;0204;2,024;Q1-2024;جزر القمر
900;40;6304;2,024;Q1-2024;قطر
112,850;19,897;7314;2,024;Q1-2024;عمان
4,826;33;9506;2,024;Q1-2024;أمريكا
2,692,568;290,649;0804;2,024;Q1-2024;سنغافوره
6,000;6;9801;2,024;Q1-2024;جزر فولكلاند
1,486;174;8213;2,024;Q1-2024;البحرين
177,600;26,400;4602;2,024;Q1-2024;الكاميرون
1,400;366;2207;2,024;Q1-2024;قطر
6,703;704;1704;2,024;Q1-2024;المانيا
667,427;64,865;0804;2,024;Q1-2024;أستراليا
480,340;255,680;2207;2,024;Q1-2024;كينيا
157,910;120;7315;2,024;Q1-2024;إسبانيا
5,038,647;10,593;9031;2,024;Q1-2024;أمريكا
20,636;3,997;9801;2,024;Q1-2024;اليونان
5,000;950;9801;2,024;Q1-2024;سيراليون
7,993,416;998,040;7601;2,024;Q1-2024;الصين الشعبية
13,686;264;9017;2,024;Q1-2024;فرنسا
2,658;100;6114;2,024;Q1-2024;البرازيل
504;240;3917;2,024;Q1-2024;رومانيا
5,983;99;9506;2,024;Q1-2024;إسبانيا
112,106;36,000;2519;2,024;Q1-2024;قطر
1,151,195;2,340,000;2505;2,024;Q1-2024;أستراليا
18,827,178;792,075;8309;2,024;Q1-2024;مصر
3,096;158;8486;2,024;Q1-2024;البحرين
2,764,564;319,967;2104;2,024;Q1-2024;الأردن
110,926;8,048;9028;2,024;Q1-2024;الكويت
2,198,382;3,256,000;2503;2,024;Q1-2024;البرازيل
307,000;22,975;8413;2,024;Q1-2024;الأردن
78,880;132;3304;2,024;Q1-2024;المملكة المتحدة
585,440;232,000;2912;2,024;Q1-2024;باكستان
12,300;8,000;8714;2,024;Q1-2024;العراق
141,692;9,368;9503;2,024;Q1-2024;الكويت
283,774;82,925;1207;2,024;Q1-2024;اليمن
67,706;344;9505;2,024;Q1-2024;فرنسا
57,926;26,250;1106;2,024;Q1-2024;الصين الشعبية
353,280;1,584,135;4012;2,024;Q1-2024;الهند
412,422;5,060;8481;2,024;Q1-2024;هولندا
114,711;2,150;8711;2,024;Q1-2024;لوكسمبورج
7,571;990;9023;2,024;Q1-2024;تايلاند
291,364;2,100;4202;2,024;Q1-2024;إسبانيا
1,729;130;4823;2,024;Q1-2024;سويسرا
62,475;11,650;5407;2,024;Q1-2024;غينيا
3,783;69;7318;2,024;Q1-2024;رومانيا
1,976;80;4823;2,024;Q1-2024;إسبانيا
59,625;26,000;2832;2,024;Q1-2024;ليبيا
46,078;6,750;0710;2,024;Q1-2024;العراق
1,200;2,700;9403;2,024;Q1-2024;بنغلادش
64,764;308;9615;2,024;Q1-2024;الإمارات
24,114,750;3,360,000;2929;2,024;Q1-2024;العراق
45,000;14,400;2818;2,024;Q1-2024;عمان
702,224;38,883;0910;2,024;Q1-2024;الأردن
160,000;2,261;8409;2,024;Q1-2024;المانيا
3,401;226,720;4707;2,024;Q1-2024;البحرين
174,220;34,490;4012;2,024;Q1-2024;الإمارات
39;46;8547;2,024;Q1-2024;رومانيا
733,556;8,000;8542;2,024;Q1-2024;سنغافوره
300;20;1507;2,024;Q1-2024;البحرين
128,250;72,000;1702;2,024;Q1-2024;كوستاريكا
3,758;204;7320;2,024;Q1-2024;فرنسا
15,892,090;90,218,000;2523;2,024;Q1-2024;أمريكا
783,868;200,979;4017;2,024;Q1-2024;فلسطين
5,353,524;21,708;8411;2,024;Q1-2024;غانا
445;17;8443;2,024;Q1-2024;كوريا الجنوبية
5,880;200;0304;2,024;Q1-2024;ماليزيا
86,934;46,000;2519;2,024;Q1-2024;تايوان
26,250;4,760;9506;2,024;Q1-2024;مصر
176,826;7,708;7615;2,024;Q1-2024;العراق
21,809;186;4901;2,024;Q1-2024;سلفادور
823;9;4202;2,024;Q1-2024;هونج كونج
1,091,855;60,952;6805;2,024;Q1-2024;اليمن
394,111;74,422;3920;2,024;Q1-2024;غينيا
